,V1
changeRate,-0.356833258
changeRate,-0.165105642
changeRate,-0.155109259
changeRate,-0.125769581
changeRate,-0.125570681
changeRate,-0.11151558
changeRate,-0.10783389
changeRate,-0.107326055
changeRate,-0.103918488
changeRate,-0.093768845
changeRate,-0.092324709
changeRate,-0.086064629
changeRate,-0.084154483
changeRate,-0.077703927
changeRate,-0.073586471
changeRate,-0.073089544
changeRate,-0.072862579
changeRate,-0.072191152
changeRate,-0.070929456
changeRate,-0.060864236
changeRate,-0.047928016
changeRate,-0.047343272
changeRate,-0.046222009
changeRate,-0.046094082
changeRate,-0.045163536
changeRate,-0.044524034
changeRate,-0.044238251
changeRate,-0.042723602
changeRate,-0.039190812
changeRate,-0.035762007
changeRate,-0.034567986
changeRate,-0.034009658
changeRate,-0.033209873
changeRate,-0.031529292
changeRate,-0.030207514
changeRate,-0.029925522
changeRate,-0.029524253
changeRate,-0.025205901
changeRate,-0.024771548
changeRate,-0.019841174
changeRate,-0.015808692
changeRate,-0.014418513
changeRate,-0.008285004
changeRate,-0.005608343
changeRate,-0.004947578
changeRate,-0.001115525
changeRate,0.000873589
changeRate,0.007514368
changeRate,0.01122166
changeRate,0.011599565
changeRate,0.017346717
changeRate,0.021190299
changeRate,0.024047477
changeRate,0.024228894
changeRate,0.024947299
changeRate,0.026186386
changeRate,0.02720205
changeRate,0.028108867
changeRate,0.029727953
changeRate,0.033852419
changeRate,0.036744402
changeRate,0.03746779
changeRate,0.038004824
changeRate,0.045257031
changeRate,0.046818276
changeRate,0.047578332
changeRate,0.048158461
changeRate,0.048749679
changeRate,0.04875732
changeRate,0.048816851
changeRate,0.049016526
changeRate,0.051642251
changeRate,0.053107917
changeRate,0.054942274
changeRate,0.060775914
changeRate,0.061935046
changeRate,0.070109708
changeRate,0.070536821
changeRate,0.072335962
changeRate,0.072484712
changeRate,0.074193854
changeRate,0.076195104
changeRate,0.085795381
changeRate,0.087895805
changeRate,0.088477292
changeRate,0.096960023
changeRate,0.112319223
changeRate,0.125366596
changeRate,0.132172677
changeRate,0.13217459
changeRate,0.141897453
changeRate,0.162721123
changeRate,0.171110883
changeRate,0.186413593
changeRate,0.197820066
changeRate,0.199221094
changeRate,0.298508065
