"","date","hsi","cl1","gold","spx","usd"
"1",2006-01-09,"S","D","S","S","S"
"2",2006-03-28,"U","U","S","U","S"
"3",2006-05-02,"D","U","U","S","D"
"4",2006-06-16,"U","S","D","D","U"
"5",2006-07-17,"U","U","U","S","S"
"6",2006-08-25,"U","D","D","U","S"
"7",2006-10-06,"U","D","D","U","S"
"8",2006-11-17,"D","S","U","S","D"
"9",2006-12-08,"U","U","S","U","D"
"10",2007-01-11,"U","D","S","S","U"
"11",2007-02-09,"D","U","U","U","S"
"12",2007-03-13,"U","U","D","D","S"
"13",2007-04-17,"S","U","U","U","S"
"14",2007-06-01,"U","U","D","S","S"
"15",2007-07-23,"D","U","U","S","D"
"16",2007-08-15,"U","S","S","D","S"
"17",2007-09-19,"U","U","U","U","D"
"18",2007-10-29,"D","U","U","D","D"
"19",2007-12-10,"D","D","S","S","S"
"20",2008-02-01,"D","D","U","D","S"
"21",2008-03-19,"U","U","S","D","D"
"22",2008-05-08,"D","U","D","U","S"
"23",2008-07-08,"U","U","U","D","S"
"24",2008-07-29,"D","D","D","S","S"
"25",2008-08-29,"D","D","D","S","U"
"26",2008-10-29,"D","D","D","D","U"
"27",2008-11-24,"U","D","U","D","U"
"28",2008-12-29,"D","D","U","U","D"
"29",2009-01-29,"D","U","U","D","U"
"30",2009-03-09,"U","U","S","D","U"
"31",2009-04-23,"U","D","D","U","S"
"32",2009-06-08,"D","U","U","U","D"
"33",2009-07-02,"U","D","D","D","S"
"34",2009-08-07,"U","U","U","U","D"
"35",2009-09-11,"U","S","U","U","D"
"36",2009-10-20,"U","U","U","S","S"
"37",2009-11-25,"D","D","U","U","D"
"38",2010-01-06,"D","U","D","U","U"
"39",2010-02-17,"U","S","S","D","U"
"40",2010-04-09,"D","U","U","U","S"
"41",2010-05-31,"U","D","S","D","U"
"42",2010-07-09,"U","S","D","S","D"
"43",2010-08-06,"S","U","S","S","D"
"44",2010-08-27,"U","D","U","S","U"
"45",2010-10-18,"U","U","U","U","D"
"46",2010-11-10,"D","U","U","U","S"
"47",2010-12-10,"U","U","S","U","U"
"48",2011-01-17,"D","S","D","U","S"
"49",2011-02-15,"S","U","U","U","S"
"50",2011-03-17,"U","U","U","S","D"
"51",2011-04-14,"D","U","U","U","D"
"52",2011-05-23,"D","D","S","S","U"
"53",2011-06-30,"U","D","S","S","S"
"54",2011-07-22,"D","U","U","U","S"
"55",2011-09-01,"D","D","U","D","S"
"56",2011-10-06,"U","D","D","D","U"
"57",2011-11-08,"D","U","U","U","S"
"58",2011-12-12,"U","S","D","S","U"
"59",2012-01-18,"U","S","S","U","S"
"60",2012-02-23,"D","U","U","U","S"
"61",2012-04-12,"D","D","S","S","S"
"62",2012-06-04,"U","D","S","D","U"
"63",2012-06-29,"S","D","S","U","S"
"64",2012-08-02,"S","U","S","U","S"
"65",2012-09-03,"U","U","U","U","D"
"66",2012-10-22,"D","D","D","D","S"
"67",2012-11-15,"U","D","S","D","U"
"68",2012-12-19,"U","S","D","U","S"
"69",2013-01-25,"D","U","S","U","S"
"70",2013-02-28,"D","D","D","S","U"
"71",2013-03-28,"U","U","S","U","S"
"72",2013-05-09,"D","U","D","U","S"
"73",2013-06-27,"U","U","D","D","S"
"74",2013-08-13,"U","S","U","S","D"
"75",2013-09-19,"S","D","D","S","S"
"76",2013-10-18,"U","D","S","U","S"
"77",2013-11-29,"D","D","D","U","S"
"78",2014-01-02,"D","S","S","U","S"
"79",2014-02-21,"S","U","U","U","S"
"80",2014-03-14,"U","S","U","U","S"
"81",2014-04-28,"U","S","S","S","S"
"82",2014-06-10,"U","U","D","U","S"
"83",2014-07-22,"U","D","S","S","S"
"84",2014-08-29,"D","D","S","U","U"
"85",2014-10-10,"U","D","S","D","S"
"86",2014-11-07,"D","D","D","U","U"
"87",2014-12-18,"U","D","S","S","S"
"88",2015-02-16,"D","U","D","U","S"
"89",2015-03-16,"U","D","D","S","U"
"90",2015-04-30,"D","U","S","S","D"
"91",2015-07-17,"D","D","D","S","S"
"92",2015-09-24,"U","U","S","D","S"
"93",2015-10-22,"D","S","U","U","S"
